"id","company","type_name","inches","screen_resolution","cpu","ram_gb","total_memory","gpu","operating_system","weight_kg","price","cpu_speed_GHz","ssd_memory","hdd_memory","flash_memory"
1,"Apple","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8,"128GB SSD","Intel Iris Plus Graphics 640","macOS",1.37,71378.6832,2.3,"128GB SSD","",""
2,"Apple","Ultrabook",13.3,"1440x900","Intel Core i5 1.8GHz",8,"128GB Flash Storage","Intel HD Graphics 6000","macOS",1.34,47895.5232,1.8,"","","128GB Flash Storage"
3,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","",1.86,30636.0,2.5,"256GB SSD","",""
4,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz",16,"512GB SSD","AMD Radeon Pro 455","macOS",1.83,135195.336,2.7,"512GB SSD","",""
5,"Apple","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz",8,"256GB SSD","Intel Iris Plus Graphics 650","macOS",1.37,96095.808,3.1,"256GB SSD","",""
6,"Acer","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"500GB HDD","AMD Radeon R5","Windows 10",2.1,21312.0,3.0,"","500GB HDD",""
7,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz",16,"256GB Flash Storage","Intel Iris Pro Graphics","Mac OS X",2.04,114017.6016,2.2,"","","256GB Flash Storage"
8,"Apple","Ultrabook",13.3,"1440x900","Intel Core i5 1.8GHz",8,"256GB Flash Storage","Intel HD Graphics 6000","macOS",1.34,61735.536,1.8,"","","256GB Flash Storage"
9,"Asus","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD","Nvidia GeForce MX150","Windows 10",1.3,79653.6,1.8,"512GB SSD","",""
10,"Acer","Ultrabook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.6,41025.6,1.6,"256GB SSD","",""
11,"HP","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"500GB HDD","Intel HD Graphics 620","",1.86,20986.992,2.5,"","500GB HDD",""
12,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"500GB HDD","Intel HD Graphics 520","",1.86,18381.0672,2.0,"","500GB HDD",""
13,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz",16,"256GB SSD","AMD Radeon Pro 555","macOS",1.83,130001.6016,2.8,"256GB SSD","",""
14,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD","AMD Radeon R5 M430","Windows 10",2.2,26581.392,2.0,"256GB SSD","",""
15,"Apple","Ultrabook",12.0,"IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz",8,"256GB SSD","Intel HD Graphics 615","macOS",0.92,67260.672,1.2,"256GB SSD","",""
16,"Apple","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8,"256GB SSD","Intel Iris Plus Graphics 640","macOS",1.37,80908.344,2.3,"256GB SSD","",""
17,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon R5 M430","Windows 10",2.2,39693.6,2.7,"256GB SSD","",""
